app_pk,to_char,max
56811,2020-01,114
56811,2020-02,92
56811,2020-03,71
56811,2020-04,41
56811,2020-05,14
56834,2019-10,20
56834,2019-11,39
56834,2019-12,39
56834,2020-01,41
56834,2020-02,29
56834,2020-03,48
56834,2020-04,101
56834,2020-05,94
57252,2019-10,93
57252,2019-11,54
57252,2019-12,4
57252,2020-01,3
57252,2020-02,3
57252,2020-04,1
57252,2020-05,1
57429,2019-10,69
57429,2019-11,112
57429,2019-12,89
57429,2020-01,42
57429,2020-02,12
57429,2020-03,5
57573,2019-10,1392
57573,2019-11,1074
57573,2019-12,489
57573,2020-01,1460
57573,2020-02,1599
57573,2020-03,1538
57573,2020-04,2056
57573,2020-05,1770
57678,2019-10,133165
57678,2019-11,135982
57678,2019-12,21876
57678,2020-01,27493
57678,2020-02,28314
57678,2020-03,29748
57678,2020-04,26919
57678,2020-05,31521
57679,2019-10,7201
57679,2019-11,7248
57679,2019-12,97
57679,2020-01,71
57679,2020-02,69
57679,2020-03,71
57679,2020-04,72
57679,2020-05,175
57712,2019-10,328
57712,2019-11,215
58239,2019-10,571
58239,2019-11,598
58239,2019-12,517
58239,2020-01,590
58239,2020-02,622
58239,2020-03,627
58239,2020-04,552
58239,2020-05,383
58242,2019-10,84
58242,2019-11,113
58242,2019-12,114
58242,2020-01,84
58242,2020-02,78
58242,2020-03,86
58242,2020-04,80
58242,2020-05,79
59406,2019-10,24
59406,2019-11,2907
59406,2019-12,5960
59406,2020-01,7496
59406,2020-02,8306
59406,2020-03,8592
59406,2020-04,7598
59406,2020-05,6413
59647,2020-01,1
59647,2020-02,4
59647,2020-03,32
59647,2020-04,152
59647,2020-05,462
59768,2019-10,45
59768,2019-11,126
59768,2019-12,108
59842,2019-10,109
59842,2019-11,2
60102,2019-10,28
60102,2019-11,47
60102,2019-12,58
60102,2020-01,84
60102,2020-02,129
60102,2020-03,128
60102,2020-04,89
60102,2020-05,163
60250,2019-10,4097
60250,2019-11,4101
60250,2019-12,934
60250,2020-01,6
60250,2020-02,2
60250,2020-03,1
60475,2019-10,1802
60475,2019-11,2209
60475,2019-12,2266
60475,2020-01,2160
60475,2020-02,2162
60475,2020-03,2157
60475,2020-04,1893
60475,2020-05,1915
60598,2019-11,1
60598,2019-12,223
60598,2020-01,398
60598,2020-02,3299
60598,2020-03,7299
60598,2020-04,10976
60598,2020-05,10866
60793,2019-10,2661
60793,2019-11,4634
60793,2019-12,4142
60793,2020-01,3445
60793,2020-02,3452
60793,2020-03,2584
60793,2020-04,2421
60793,2020-05,2139
60856,2019-10,56
60856,2019-11,67
60856,2019-12,76
60856,2020-01,141
60856,2020-02,155
60856,2020-03,115
60856,2020-04,129
60856,2020-05,130
60868,2019-10,38710
60868,2019-11,38710
60893,2019-10,114
60893,2019-11,128
60893,2019-12,61
61257,2019-10,1329
61257,2019-11,1773
61257,2019-12,887
61257,2020-01,543
61257,2020-02,1159
61257,2020-03,1693
61257,2020-04,3056
61257,2020-05,2946
61308,2020-02,4
61308,2020-03,5
61308,2020-04,1258
61308,2020-05,1259
61381,2019-10,299
61381,2019-11,418
61381,2019-12,380
61381,2020-01,417
61381,2020-02,1012
61381,2020-03,1491
61381,2020-04,4099
61381,2020-05,5095
61393,2019-10,80
61393,2019-11,638
61393,2019-12,653
61393,2020-01,664
61393,2020-02,664
61393,2020-03,952
61393,2020-04,1039
61393,2020-05,1533
61438,2019-10,6456
61438,2019-11,8287
61438,2019-12,8311
61438,2020-01,8470
61438,2020-02,8434
61438,2020-03,8385
61438,2020-04,8331
61438,2020-05,8260
61439,2019-10,118
61439,2019-11,250
61439,2019-12,240
61439,2020-01,214
61439,2020-02,217
61439,2020-03,221
61439,2020-04,254
61439,2020-05,280
61652,2019-10,3
61652,2019-11,4809
61652,2019-12,5405
61652,2020-01,5614
61652,2020-02,5943
61652,2020-03,5871
61652,2020-04,5874
61652,2020-05,4598
61768,2019-11,3
61768,2019-12,457
61768,2020-01,947
61768,2020-02,564
61795,2019-10,26478
61795,2019-11,26478
61795,2019-12,2
61891,2019-10,1408
61891,2019-11,3494
61891,2019-12,3191
61891,2020-01,1492
61891,2020-02,594
61891,2020-03,458
61891,2020-04,302
61891,2020-05,266
61926,2019-10,12
61926,2019-11,21
61926,2019-12,30
61926,2020-01,170
61926,2020-02,190
61926,2020-03,90
61926,2020-04,48
62028,2019-10,63
62028,2019-11,18958
62028,2019-12,19312
62028,2020-01,19465
62028,2020-02,19476
62028,2020-03,19318
62028,2020-04,19261
62028,2020-05,18673
62092,2019-10,8
62092,2019-11,32
62092,2019-12,677
62092,2020-01,678
62092,2020-02,677
62092,2020-03,51
62092,2020-04,50
62092,2020-05,64
62093,2019-10,17
62093,2019-11,27
62093,2019-12,23
62093,2020-01,684
62093,2020-02,684
62093,2020-03,25
62093,2020-04,31
62093,2020-05,21
62099,2019-10,302
62099,2019-11,1371
62099,2019-12,1497
62099,2020-01,1562
62099,2020-02,1562
62099,2020-03,1512
62099,2020-04,1245
62099,2020-05,806
62215,2019-10,18
62215,2019-11,47
62215,2019-12,677
62215,2020-01,677
62215,2020-02,711
62215,2020-03,714
62215,2020-04,61
62215,2020-05,68
62234,2019-10,141
62234,2019-11,168
62234,2019-12,56
62326,2019-11,11
62326,2019-12,148
62326,2020-01,146
62442,2019-10,428
62442,2019-11,630
62442,2019-12,2121
62442,2020-01,1909
62442,2020-02,1362
62442,2020-03,2490
62442,2020-04,3164
62442,2020-05,3164
62492,2019-10,4
62492,2019-11,80
62492,2019-12,79
62492,2020-01,58
62492,2020-02,49
62492,2020-03,92
62492,2020-04,155
62492,2020-05,113
62791,2019-10,5
62791,2019-11,19
62791,2019-12,156
62791,2020-01,163
62791,2020-02,163
62791,2020-03,13
62791,2020-04,40
62791,2020-05,42
62797,2019-10,46
62797,2019-11,233
62797,2019-12,1200
62797,2020-01,1266
62797,2020-02,1318
62797,2020-03,1360
62797,2020-04,1367
62797,2020-05,242
62912,2019-11,2
62912,2019-12,4
62912,2020-01,402
62912,2020-02,407
62912,2020-03,85
62912,2020-04,59
63074,2019-11,36
63074,2019-12,85
63074,2020-01,1717
63074,2020-02,2227
63074,2020-03,574
63074,2020-04,84
63074,2020-05,130
63314,2019-11,566
63314,2019-12,1596
63314,2020-01,1704
63314,2020-02,2208
63314,2020-03,19498
63314,2020-04,53245
63314,2020-05,76641
63399,2019-11,123
63399,2019-12,128
63399,2020-01,84
63399,2020-02,498
63399,2020-03,1879
63399,2020-04,2148
63399,2020-05,2254
63638,2019-12,2174
63638,2020-01,4811
63638,2020-02,8704
63638,2020-03,10741
63638,2020-04,17757
63638,2020-05,19558
63914,2019-12,206
63914,2020-01,284
63914,2020-02,356
63914,2020-03,403
63914,2020-04,415
63914,2020-05,346
63930,2019-11,13
63930,2019-12,15695
63930,2020-01,23847
63930,2020-02,22586
63930,2020-03,22816
63930,2020-04,24288
63930,2020-05,22819
64193,2019-11,71
64193,2019-12,152
64193,2020-01,102
64193,2020-02,85
